"Labor Force Data by County, 2018 Annual Averages",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
County Name,State Abbreviation,Unemployment Rate (%),,,,,
,,,,,,,
Anderson County, TX,3.1     ,,,,,
Andrews County, TX,2.4     ,,,,,
Angelina County, TX,4.3     ,,,,,
Aransas County, TX,5.9     ,,,,,
Archer County, TX,3.0     ,,,,,
Armstrong County, TX,2.7     ,,,,,
Atascosa County, TX,3.7     ,,,,,
Austin County, TX,3.6     ,,,,,
Bailey County, TX,4.4     ,,,,,
Bandera County, TX,3.4     ,,,,,
Bastrop County, TX,3.4     ,,,,,
Baylor County, TX,3.2     ,,,,,
Bee County, TX,5.1     ,,,,,
Bell County, TX,4.1     ,,,,,
Bexar County, TX,3.3     ,,,,,
Blanco County, TX,2.6     ,,,,,
Borden County, TX,3.2     ,,,,,
Bosque County, TX,3.7     ,,,,,
Bowie County, TX,4.9     ,,,,,
Brazoria County, TX,4.5     ,,,,,
Brazos County, TX,2.8     ,,,,,
Brewster County, TX,3.3     ,,,,,
Briscoe County, TX,3.8     ,,,,,
Brooks County, TX,6.4     ,,,,,
Brown County, TX,3.7     ,,,,,
Burleson County, TX,3.6     ,,,,,
Burnet County, TX,2.9     ,,,,,
Caldwell County, TX,3.6     ,,,,,
Calhoun County, TX,4.1     ,,,,,
Callahan County, TX,3.3     ,,,,,
Cameron County, TX,6.1     ,,,,,
Camp County, TX,4.9     ,,,,,
Carson County, TX,2.8     ,,,,,
Cass County, TX,5.0     ,,,,,
Castro County, TX,2.8     ,,,,,
Chambers County, TX,5.4     ,,,,,
Cherokee County, TX,4.1     ,,,,,
Childress County, TX,2.6     ,,,,,
Clay County, TX,3.1     ,,,,,
Cochran County, TX,4.3     ,,,,,
Coke County, TX,3.4     ,,,,,
Coleman County, TX,3.9     ,,,,,
Collin County, TX,3.3     ,,,,,
Collingsworth County, TX,3.1     ,,,,,
Colorado County, TX,3.3     ,,,,,
Comal County, TX,3.2     ,,,,,
Comanche County, TX,3.6     ,,,,,
Concho County, TX,3.6     ,,,,,
Cooke County, TX,3.1     ,,,,,
Coryell County, TX,4.2     ,,,,,
Cottle County, TX,4.3     ,,,,,
Crane County, TX,3.8     ,,,,,
Crockett County, TX,2.9     ,,,,,
Crosby County, TX,4.6     ,,,,,
Culberson County, TX,3.1     ,,,,,
Dallam County, TX,2.0     ,,,,,
Dallas County, TX,3.8     ,,,,,
