County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Total_Crime
Anderson County,8778,19.8,45969,57735,3.1,404.0
Andrews County,1922,10.7,84946,18705,2.4,97.0
Angelina County,15052,17.9,46653,86715,4.3,588.0
Aransas County,4642,19.9,46912,23510,5.9,340.0
Archer County,922,10.6,61190,8553,3.0,
Armstrong County,197,10.7,57210,1887,2.7,
Atascosa County,7803,15.7,50594,51153,3.7,603.0
Austin County,3031,10.2,59942,30032,3.6,114.0
Bailey County,1087,15.8,45051,7000,4.4,38.0
Bandera County,3016,13.4,53008,23112,3.4,318.0
Bastrop County,10673,12.6,61883,88723,3.4,808.0
Baylor County,563,16.1,41180,3509,3.2,
Bee County,6607,26.7,41806,32565,5.1,176.0
Bell County,44865,13.0,54292,362924,4.1,766.0
Bexar County,334215,17.2,54210,2003554,3.3,5793.0
Blanco County,1176,10.1,64832,11931,2.6,45.0
Borden County,65,10.0,66101,654,3.2,
Bosque County,2721,14.9,48460,18685,3.7,53.0
Bowie County,16794,19.1,47339,93245,4.9,429.0
Brazoria County,36342,10.1,74225,374264,4.5,1397.0
Brazos County,49310,23.2,50113,229211,2.8,354.0
Brewster County,1475,16.0,45670,9203,3.3,21.0
Briscoe County,245,16.2,44409,1546,3.8,8.0
Brooks County,2183,31.0,30116,7093,6.4,0.0
Brown County,4778,13.2,47097,37864,3.7,174.0
Burleson County,2686,14.8,53626,18443,3.6,138.0
Burnet County,5099,11.0,56696,48155,2.9,230.0
Caldwell County,5850,14.1,52588,43664,3.6,147.0
Calhoun County,3036,14.2,52085,21290,4.1,127.0
Callahan County,1661,12.0,50330,13943,3.3,45.0
Cameron County,117193,27.9,38106,423163,6.1,1101.0
Camp County,2431,18.8,43714,13094,4.9,76.0
Carson County,536,8.9,64799,5926,2.8,47.0
Cass County,6059,20.4,44154,30026,5.0,247.0
Castro County,1328,17.5,45689,7530,2.8,22.0
Chambers County,3593,8.5,89513,43837,5.4,
Cherokee County,8623,17.4,43483,52646,4.1,503.0
Childress County,1180,21.2,42291,7306,2.6,10.0
Clay County,1125,10.9,58356,10471,3.1,149.0
Cochran County,609,21.9,42873,2853,4.3,
Coke County,469,14.1,44804,3387,3.4,
Coleman County,1604,19.3,39484,8175,3.9,
Collin County,64180,6.4,96936,1034730,3.3,422.0
Collingsworth County,502,17.3,39536,2920,3.1,
Colorado County,2845,13.7,48258,21493,3.3,114.0
Comal County,10498,7.1,76523,156209,3.2,517.0
Comanche County,2180,16.4,52251,13635,3.6,63.0
Concho County,702,26.6,40987,2726,3.6,20.0
Cooke County,5914,14.8,52047,41257,3.1,132.0
Coryell County,9407,15.0,48099,75951,4.2,82.0
Cottle County,293,21.2,38304,1398,4.3,
Crane County,475,10.1,61987,4797,3.8,
Crockett County,529,15.3,49117,3464,2.9,3.0
Crosby County,1349,23.7,37911,5737,4.6,23.0
Culberson County,444,20.3,42164,2171,3.1,0.0
Dallam County,867,12.1,50587,7287,2.0,4.0
Dallas County,368310,14.2,59838,2635516,3.8,286.0
Dawson County,2575,22.9,43726,12728,4.3,55.0
Deaf Smith County,3232,17.5,44230,18546,2.8,59.0
Delta County,908,17.2,44410,5331,3.4,31.0
Denton County,62151,7.3,88384,887207,3.2,561.0
DeWitt County,3370,18.4,49208,20160,3.1,32.0
Dickens County,390,20.3,39627,2211,4.2,
Dimmit County,2508,24.6,37177,10124,3.0,125.0
Donley County,574,18.6,40945,3278,3.4,42.0
Duval County,2684,25.5,35156,11157,5.2,139.0
Eastland County,3269,18.7,44773,18360,3.3,34.0
Ector County,20485,12.9,60431,166223,2.7,1663.0
Edwards County,425,22.1,37812,1932,2.8,24.0
Ellis County,15609,8.8,76792,184826,3.3,530.0
