County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,,,,,,,,
Anderson County,54,0,2,6,46,350,121,188,41,0,,,,,,,,
Andrews County,17,0,2,0,15,80,18,50,12,0,,,,,,,,
Angelina County,96,0,24,3,69,492,152,274,66,1,,,,,,,,
Aransas County,76,0,18,3,55,264,94,152,18,0,,,,,,,,
Atascosa County,83,4,3,8,68,520,136,317,67,0,,,,,,,,
Austin County,14,0,6,0,8,100,48,36,16,3,,,,,,,,
Bailey County,10,1,0,0,9,28,8,19,1,0,,,,,,,,
Bandera County,34,1,24,2,7,284,108,134,42,0,,,,,,,,
Bastrop County,162,3,45,15,99,646,234,348,64,0,,,,,,,,
Bee County,31,1,6,1,23,145,40,88,17,5,,,,,,,,
Bell County,83,2,28,6,47,683,157,495,31,,,,,,,,,
Bexar County,627,10,166,79,372,"5,166",975,"3,770",421,49,,,,,,,,
Blanco County,9,0,1,0,8,36,13,22,1,1,,,,,,,,
Bosque County,2,0,0,0,2,51,22,25,4,1,,,,,,,,
Bowie County,80,0,20,5,55,349,113,191,45,11,,,,,,,,
Brazoria County,171,0,20,35,116,"1,226",251,838,137,2,,,,,,,,
Brazos County,49,1,11,0,37,305,75,199,31,2,,,,,,,,
Brewster County,8,0,3,1,4,13,6,7,0,1,,,,,,,,
Briscoe County,1,0,0,0,1,7,1,6,0,0,,,,,,,,
Brooks County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Brown County,21,0,0,0,21,153,65,82,6,1,,,,,,,,
Burleson County,26,0,5,0,21,112,54,50,8,0,,,,,,,,
Burnet County,55,0,20,1,34,175,42,99,34,0,,,,,,,,
Caldwell County,33,0,0,5,28,114,39,59,16,1,,,,,,,,
Calhoun County,34,0,9,0,25,93,26,51,16,0,,,,,,,,
Callahan County,8,0,1,1,6,37,15,16,6,0,,,,,,,,
Cameron County,164,1,51,15,97,937,324,564,49,2,,,,,,,,
Camp County,2,0,0,0,2,74,28,35,11,0,,,,,,,,
Carson County,11,0,2,0,9,36,11,20,5,0,,,,,,,,
Cass County,39,0,4,3,32,208,93,85,30,3,,,,,,,,
Castro County,2,1,0,0,1,20,7,11,2,0,,,,,,,,
Cherokee County,85,1,10,2,72,418,143,229,46,1,,,,,,,,
Childress County,0,0,0,0,0,10,6,3,1,0,,,,,,,,
Clay County,25,0,9,5,11,124,65,40,19,3,,,,,,,,
Collin County,76,3,35,3,35,346,93,204,49,0,,,,,,,,
Colorado County,12,0,2,0,10,102,16,65,21,0,,,,,,,,
Comal County,,0,44,2,,517,161,320,36,0,,,,,,,,
Comanche County,2,0,0,0,2,61,19,36,6,2,,,,,,,,
Concho County,11,0,0,0,11,9,2,7,0,0,,,,,,,,
Cooke County,16,0,4,1,11,116,49,59,8,1,,,,,,,,
Coryell County,7,0,0,0,7,75,10,61,4,0,,,,,,,,
Crockett County,3,0,0,1,2,,,11,0,0,,,,,,,,
Crosby County,4,0,0,0,4,19,11,5,3,0,,,,,,,,
Culberson County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dallam County,1,0,0,0,1,3,3,0,0,0,,,,,,,,
Dallas County,50,1,20,2,27,236,44,155,37,0,,,,,,,,
Dawson County,4,0,0,1,3,51,19,30,2,0,,,,,,,,
Deaf Smith County,6,0,1,0,5,53,14,35,4,0,,,,,,,,
Delta County,2,0,0,0,2,29,10,18,1,0,,,,,,,,
Denton County,75,0,29,1,45,486,125,326,35,0,,,,,,,,
DeWitt County,32,2,7,0,23,,,75,7,0,,,,,,,,
Dimmit County,9,0,1,0,8,116,21,88,7,0,,,,,,,,
Donley County,5,0,0,2,3,37,10,22,5,2,,,,,,,,
Duval County,17,0,1,0,16,122,36,56,30,2,,,,,,,,
Eastland County,2,0,2,0,0,32,12,12,8,0,,,,,,,,
Ector County,109,4,6,22,77,"1,554",271,"1,020",263,1,,,,,,,,
Edwards County,3,0,1,0,2,21,11,10,0,0,,,,,,,,
El Paso County,243,8,44,10,181,668,141,470,57,3,,,,,,,,
Ellis County,118,0,27,5,86,412,92,280,40,0,,,,,,,,
Erath County,34,1,2,0,31,123,66,47,10,2,,,,,,,,
Falls County,17,1,4,0,12,53,14,33,6,0,,,,,,,,
Fannin County,35,0,10,1,24,172,94,63,15,0,,,,,,,,
Fayette County,19,0,3,2,14,111,35,73,3,0,,,,,,,,
Floyd County,23,0,5,1,17,36,11,23,2,0,,,,,,,,
Foard County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Fort Bend County,836,6,126,145,559,"3,969",595,"3,166",208,20,,,,,,,,
Franklin County,17,1,0,1,15,51,21,26,4,0,,,,,,,,
Freestone County,17,0,0,1,16,109,39,63,7,2,,,,,,,,
Frio County,28,2,0,0,26,57,22,32,3,0,,,,,,,,
Gaines County,10,0,4,0,6,82,27,43,12,0,,,,,,,,
Galveston County,128,1,14,16,97,693,196,428,69,6,,,,,,,,
Garza County,7,0,0,0,7,35,15,17,3,0,,,,,,,,
Gillespie County,5,1,2,0,2,47,9,35,3,2,,,,,,,,
Glasscock County,0,0,0,0,0,19,2,16,1,0,,,,,,,,
Goliad County,13,0,4,0,9,95,27,54,14,0,,,,,,,,
Gonzales County,11,0,2,1,8,100,31,66,3,1,,,,,,,,
Gray County,7,0,1,1,5,97,35,51,11,1,,,,,,,,
Grayson County,91,1,27,4,59,398,127,209,62,1,,,,,,,,
Gregg County,67,0,15,3,49,417,107,244,66,0,,,,,,,,
Grimes County,8,0,0,0,8,122,39,73,10,4,,,,,,,,
Guadalupe County,71,3,30,5,33,448,126,283,39,20,,,,,,,,
Hale County,26,0,0,0,26,66,22,42,2,0,,,,,,,,
