County,Population
Harris County,4713325
Dallas County,2635516
Tarrant County,2102515
Bexar County,2003554
Travis County,1273954
Collin County,1034730
Denton County,887207
Hidalgo County,868707
El Paso County,839238
Fort Bend County,811688
Montgomery County,607391
Williamson County,590551
Cameron County,423163
Brazoria County,374264
Bell County,362924
Nueces County,362294
Galveston County,342139
Lubbock County,310569
Webb County,276652
McLennan County,256623
Jefferson County,251565
Smith County,232751
Hays County,230191
Brazos County,229211
Ellis County,184826
Midland County,176832
Johnson County,175817
Guadalupe County,166847
Ector County,166223
Comal County,156209
Parker County,142878
Taylor County,138034
Randall County,137713
Grayson County,136212
Kaufman County,136154
Wichita County,132230
Gregg County,123945
Tom Green County,119200
Potter County,117415
Rockwall County,104915
Hunt County,98594
Bowie County,93245
Victoria County,92084
Bastrop County,88723
Liberty County,88219
Angelina County,86715
Orange County,83396
Henderson County,82737
Coryell County,75951
Walker County,72971
Wise County,69984
San Patricio County,66730
Harrison County,66553
Nacogdoches County,65204
Starr County,64633
Hood County,61643
Maverick County,58722
Anderson County,57735
Hardin County,57602
Van Zandt County,56590
Waller County,55246
Rusk County,54406
Cherokee County,52646
Kerr County,52600
Medina County,51584
Polk County,51353
Atascosa County,51153
Wilson County,51070
Navarro County,50113
Lamar County,49859
Val Verde County,49025
Burnet County,48155
Kendall County,47431
Wood County,45539
Chambers County,43837
Caldwell County,43664
Erath County,42698
Upshur County,41753
Wharton County,41556
Cooke County,41257
Jim Wells County,40482
Brown County,37864
Hopkins County,37084
Howard County,36664
Hill County,36649
Matagorda County,36643
Washington County,35882
Jasper County,35529
Fannin County,35514
Hale County,33406
Titus County,32750
Bee County,32565
Kleberg County,30680
Austin County,30032
Cass County,30026
Palo Pinto County,29189
Grimes County,28880
San Jacinto County,28859
Gillespie County,26988
Uvalde County,26741
Fayette County,25346
Shelby County,25274
Milam County,24823
Aransas County,23510
Limestone County,23437
Panola County,23194
Bandera County,23112
Hockley County,23021
Houston County,22968
Gray County,21886
Llano County,21795
Tyler County,21672
Colorado County,21493
Gaines County,21492
Lampasas County,21428
Willacy County,21358
Calhoun County,21290
Moore County,20940
Hutchinson County,20938
Gonzales County,20837
Frio County,20306
DeWitt County,20160
Lavaca County,20154
Jones County,20083
Montague County,19818
Freestone County,19717
Andrews County,18705
Bosque County,18685
Deaf Smith County,18546
Burleson County,18443
Eastland County,18360
Young County,18010
Leon County,17404
Falls County,17297
Lee County,17239
Robertson County,17074
Scurry County,16703
Reeves County,15976
Pecos County,15823
Karnes County,15601
Jackson County,14760
Nolan County,14714
Trinity County,14651
Madison County,14284
Zapata County,14179
Callahan County,13943
Comanche County,13635
Newton County,13595
Camp County,13094
Lamb County,12893
Wilbarger County,12769
Dawson County,12728
Rains County,12514
Morris County,12388
Terry County,12337
Live Oak County,12207
Red River County,12023
Ward County,11998
Blanco County,11931
Zavala County,11840
Duval County,11157
Franklin County,10725
Sabine County,10542
Clay County,10471
Runnels County,10264
Dimmit County,10124
Marion County,9854
Ochiltree County,9836
Parmer County,9605
Stephens County,9366
Brewster County,9203
Somervell County,9128
Jack County,8935
Yoakum County,8713
Archer County,8553
Mitchell County,8545
Hamilton County,8461
San Augustine County,8237
Coleman County,8175
Winkler County,8010
McCulloch County,7984
Goliad County,7658
Castro County,7530
La Salle County,7520
Swisher County,7397
Childress County,7306
Dallam County,7287
Brooks County,7093
Bailey County,7000
Refugio County,6948
Presidio County,6704
Garza County,6229
San Saba County,6055
Lynn County,5951
Carson County,5926
Martin County,5771
Crosby County,5737
Floyd County,5712
Haskell County,5658
Hartley County,5576
Hansford County,5399
Delta County,5331
Jim Hogg County,5200
Wheeler County,5056
Hudspeth County,4886
Mills County,4873
Crane County,4797
Kimble County,4337
Mason County,4274
Hardeman County,3933
Reagan County,3849
Fisher County,3830
Hemphill County,3819
Sutton County,3776
Kinney County,3667
Knox County,3664
Upton County,3657
Baylor County,3509
Crockett County,3464
Real County,3452
Coke County,3387
Donley County,3278
Shackelford County,3265
Lipscomb County,3233
Sherman County,3022
Hall County,2964
Collingsworth County,2920
Cochran County,2853
Schleicher County,2793
Concho County,2726
Jeff Davis County,2274
Dickens County,2211
Culberson County,2171
Menard County,2138
Oldham County,2112
Edwards County,1932
Armstrong County,1887
Briscoe County,1546
Irion County,1536
Throckmorton County,1501
Glasscock County,1409
Cottle County,1398
Stonewall County,1350
Sterling County,1291
Motley County,1200
Foard County,1155
Roberts County,854
Terrell County,776
Kent County,762
McMullen County,743
Borden County,654
Kenedy County,404
King County,272
Loving County,169
